"","fail_date","tbf","stopDur","Shift","line"
"1",2015-12-01 00:00:00,6.17129380405699,27.250573022684,3,1
"2",2015-12-01 00:02:30,2.38537967945768,167.036173291765,3,1
"3",2015-12-01 00:07:52,5.10222935636844,12.2284930340686,3,1
"4",2015-12-01 00:10:34,2.16348762162044,157.189960547011,3,1
"5",2015-12-01 00:26:27,15.4847851171926,13.8963136763273,3,1
"6",2015-12-01 01:07:58,36.9906370437646,41.3420491216475,3,1
"7",2015-12-01 01:31:13,22.6110333005111,119.751515212724,3,1
"8",2015-12-01 01:50:55,13.2208511413234,7.82716930398517,3,1
"9",2015-12-01 01:59:43,5.98503355317378,13.2626474882553,3,1
"11",2015-12-01 03:14:16,71.755572303828,9.85536061442659,3,1
"12",2015-12-01 03:54:35,38.9011568439461,43.2689707579703,3,1
"13",2015-12-01 04:00:41,5.76907408906891,72.3136026281845,3,1
"14",2015-12-01 06:31:45,149.965075460185,78.4211012815823,1,1
"15",2015-12-01 06:50:49,18.7079841769744,16.4244515836512,1,1
"16",2015-12-01 07:08:15,15.2128709184758,34.3004899738551,1,1
"17",2015-12-01 07:28:19,18.8727558126649,108.53256710627,1,1
"18",2015-12-01 07:47:09,18.1119181823429,6.43493212515102,1,1
"19",2015-12-01 08:22:43,35.4084509986712,37.6134408679282,1,1
"20",2015-12-01 08:23:42,0.84601936827625,10.7496174001862,1,1
"21",2015-12-01 08:40:22,15.6105376155973,96.9552015238718,1,1
"22",2015-12-01 09:03:32,22.5033540289952,81.033965368046,1,1
"23",2015-12-01 09:04:18,0.590247865759335,45.8756339146021,1,1
"24",2015-12-01 09:10:56,6.54491637846589,34.1640711675272,1,1
"25",2015-12-01 09:19:53,8.41201367662343,27.9872254696061,1,1
"26",2015-12-01 09:39:10,18.7818623560747,40.0067508441757,1,1
"27",2015-12-01 09:48:15,6.79828893706663,136.458891566732,1,1
"32",2015-12-01 12:47:24,111.546686921186,78.5890007286662,1,1
"33",2015-12-01 13:22:16,34.3752812199474,11.9689609933376,1,1
"34",2015-12-01 13:30:01,7.28208228481803,147.913893019544,1,1
"35",2015-12-01 13:50:14,19.873091709293,20.5408852938733,1,1
"36",2015-12-01 14:12:59,20.3611291375865,5.33161689781881,2,1
"37",2015-12-01 14:18:28,2.53705064326707,51.9670854085774,2,1
"38",2015-12-01 14:20:51,1.78581405786049,12.9024100689596,2,1
"39",2015-12-01 14:30:25,9.28075723320039,23.0982225839727,2,1
"40",2015-12-01 15:12:46,41.6975774498451,110.623677383829,2,1
"41",2015-12-01 15:21:14,4.56314756802447,25.2650952013882,2,1
"42",2015-12-01 15:38:53,16.7682826624331,494.779835753169,2,1
"43",2015-12-01 15:40:28,1.3181326121143,13.8140727627343,2,1
"44",2015-12-01 15:45:22,4.78844368437105,119.839168303879,2,1
"45",2015-12-01 16:13:25,27.3935001760532,51.5782210111804,2,1
"46",2015-12-01 16:36:39,22.8648211770975,140.668965045756,2,1
"47",2015-12-01 17:36:11,59.3443005815416,27.1635490844448,2,1
"49",2015-12-01 19:51:51,61.3305817174805,174.159083201532,2,1
"50",2015-12-01 20:10:00,9.01629751922153,345.716863067799,2,1
"51",2015-12-01 20:11:04,0.607548736254375,14.4368239713471,2,1
"52",2015-12-01 20:14:38,3.47393961157207,8.44224818740502,2,1
"53",2015-12-01 20:38:00,23.2778346272395,18.6769268754574,2,1
"54",2015-12-01 21:10:43,31.6445905155387,22.3055560394626,2,1
"55",2015-12-01 21:23:11,5.85504550926586,112.438743700464,2,1
"56",2015-12-01 21:37:08,13.6294601684469,334.42063146994,2,1
"57",2015-12-01 21:48:15,5.92883622482781,91.6740761259095,2,1
"58",2015-12-01 22:44:22,52.946298272277,53.5820055395496,3,1
"59",2015-12-01 23:02:04,16.46282162967,224.908986804533,3,1
"60",2015-12-01 23:32:01,29.3895424708826,86.361601467551,3,1
"61",2015-12-01 23:37:08,4.33049917317636,106.237642570406,3,1
"62",2015-12-02 00:04:46,27.4757677743235,5.28329308508418,3,1
"63",2015-12-02 00:05:12,0.225598443554451,17.3223676933739,3,1
"64",2015-12-02 00:13:08,5.20873206522974,128.696427712525,3,1
"65",2015-12-02 00:14:34,0.332922382798392,127.278179616754,3,1
"66",2015-12-02 00:47:11,31.0541676168723,56.4793839781568,3,1
"67",2015-12-02 00:49:02,0.901940035410899,24.7372493875118,3,1
"68",2015-12-02 01:28:37,39.3217562052846,36.8900948643927,3,1
"69",2015-12-02 01:40:53,9.84954139405386,273.985516040341,3,1
"70",2015-12-02 01:42:23,0.945308244493751,104.58375640934,3,1
"71",2015-12-02 01:50:47,7.09172714302435,272.534073445449,3,1
"75",2015-12-02 03:53:06,64.2706280994082,35.4310900250059,3,1
"76",2015-12-02 04:10:14,9.23085167579146,7.59729510516373,3,1
"77",2015-12-02 04:11:27,0.663168471114012,23.6374379843897,3,1
"78",2015-12-02 04:22:21,8.08907609285088,267.076949997255,3,1
"79",2015-12-02 04:35:47,13.1776644817695,5.32728004285584,3,1
"80",2015-12-02 05:17:28,39.22867272149,32.0892099141086,3,1
"81",2015-12-02 05:20:13,2.500971667205,157.008584408648,3,1
"82",2015-12-02 05:36:43,13.0107302847918,36.3555966270555,3,1
"83",2015-12-02 07:20:02,103.12907749787,41.8187132717982,1,1
"84",2015-12-02 08:48:22,84.9938727862271,35.6011709438482,1,1
"85",2015-12-02 09:29:23,40.054941834014,70.671071329085,1,1
"86",2015-12-02 09:53:35,23.9623753286861,74.3418884409665,1,1
"87",2015-12-02 09:58:14,3.51236471060596,28.1194704147801,1,1
"90",2015-12-02 11:21:06,59.1806484818594,12.1976409447036,1,1
"91",2015-12-02 11:23:58,1.30464224263462,8.92965627400143,1,1
"92",2015-12-02 11:28:10,3.92646408026198,36.7828641129979,1,1
"93",2015-12-02 12:21:58,53.3693437960648,117.644778689917,1,1
"94",2015-12-02 12:32:25,9.83021455496756,15.9680957594002,1,1
"95",2015-12-02 12:39:18,6.34075850554568,29.3703177730545,1,1
"96",2015-12-02 12:55:00,13.0346177249455,32.8375194196739,1,1
"97",2015-12-02 13:01:48,6.19298893931062,11.9129387081481,1,1
"98",2015-12-02 13:07:19,5.38987077631375,69.9856440518439,1,1
"99",2015-12-02 13:57:12,49.0992295143698,7.64210266639654,1,1
"100",2015-12-02 14:16:23,18.3559201540483,125.57158535128,2,1
